least_shaded ,middle_shaded,most_shaded,crop_protection_temp,crop_protection_eto,no_protect_eto,no_protect_temp
6.717721058,6.666961422,6.666961422,6.868538088,0.076951951,0.076951951,6.3
6.169845964,6.126461299,6.126461299,6.298750481,0.065771445,0.065771445,5.79
5.675703696,5.637604943,5.637604943,5.788902709,0.057757966,0.057757966,5.13
5.037543187,5.006724268,5.006724268,5.129112361,0.04672169,0.04672169,4.65
4.569829844,4.543106478,4.543106478,4.649230308,0.040512803,0.040512803,4.21
4.136603024,4.112137387,4.112137387,4.209295326,0.037090071,0.037090071,3.74
3.672271706,3.649695631,3.649695631,3.73934974,0.034225482,0.034225482,3.38
3.31408625,3.292115024,3.292115024,3.379367155,0.033308527,0.033308527,2.94
2.880208936,2.860278607,2.860278607,2.939425928,0.030214513,0.030214513,2.9
3.050005217,2.970633401,2.932543067,3.057863607,0.033248358,0.034518774,5.76
6.161643305,5.979280043,5.886378662,6.14551435,0.063912771,0.067493214,10.34
10.7467713,10.4305788,10.29842057,10.88185772,0.177192044,0.183391796,12.88
13.31267026,12.92849903,12.77424167,13.50326178,0.230543334,0.238673648,14.71
15.07953816,14.66660971,14.51033717,15.33250223,0.270526192,0.279493719,15.83
16.09088521,15.66945988,15.52143806,16.41384846,0.302894594,0.311825802,16.36
16.48457271,16.07638786,15.9455576,16.87374409,0.322183667,0.33028778,16.46
16.49462565,16.10055726,15.98260021,16.92287662,0.33002501,0.337378365,16.09
15.88932128,15.56700712,15.49275694,16.38188882,0.320174121,0.324803294,14.77
14.23278804,14.05371737,14.05371737,14.76484282,0.271472348,0.271472348,12.86
12.4032289,12.25097186,12.25097186,12.85561503,0.230822705,0.230822705,11.5
11.10594308,10.97459077,10.97459077,11.49621707,0.199130993,0.199130993,10.02
9.702471958,9.596629277,9.596629277,10.01695173,0.160458219,0.160458219,8.71
8.454639219,8.369518963,8.369518963,8.707548522,0.129042882,0.129042882,7.58
7.377481198,7.30997494,7.30997494,7.578055793,0.102339944,0.102339944,6.47
6.318249133,6.267665524,6.267665524,6.468543153,0.076685093,0.076685093,5.5
5.386547721,5.348730311,5.348730311,5.498910809,0.057331448,0.057331449,4.87
4.769615514,4.736154038,4.736154038,4.869036253,0.050727824,0.050727824,4.44
4.348082867,4.317443844,4.317443844,4.439117535,0.046448967,0.046448967,4.08
3.99806263,3.970750195,3.970750195,4.079213336,0.041405836,0.041405836,3.84
3.766832666,3.742443577,3.742443577,3.839297526,0.036974023,0.036974023,3.62
3.55502274,3.533363677,3.533363677,3.619376148,0.032835286,0.032835286,3.17
3.130945852,3.117927827,3.117927827,3.169625005,0.019735413,0.019735413,2.63
2.600714585,2.590952807,2.590952807,2.629718779,0.014798921,0.014798921,2.72
2.910208827,2.839040228,2.799405808,2.88450642,0.017298557,0.018623975,5.06
5.609175889,5.419076038,5.309372289,5.515758845,0.037247655,0.041370579,8.88
9.534881911,9.219638058,9.063304041,9.524376334,0.120255838,0.12717938,11.55
12.45346718,12.00452867,11.7851497,12.44050634,0.179354593,0.190168318,13.42
14.19331702,13.72918478,13.51836489,14.26529835,0.223009377,0.234343324,14.65
15.59640737,15.04762557,14.79536762,15.6467936,0.257765294,0.27186489,15.38
16.53297325,15.89774741,15.60017742,16.54108833,0.286211317,0.303038896,15.8
16.56919188,16.01933986,15.78429361,16.71991815,0.299755711,0.31354382,15.76
15.92275004,15.53545838,15.4069147,16.26791399,0.295352497,0.303151732,14.79
14.29135778,14.12514369,14.12514369,14.78521309,0.251981684,0.251981684,12.83
12.43166896,12.29889194,12.29889194,12.82617605,0.201290864,0.201290864,11.15
10.87344121,10.78125494,10.78125494,11.14734505,0.139755007,0.139755007,11.4
11.07700685,10.96934246,10.96934246,11.39689928,0.16321994,0.16321994,10.62
10.33829527,10.24439369,10.24439369,10.61729564,0.142355428,0.142355428,9.35
9.130932834,9.057910448,9.057910448,9.347896948,0.110702431,0.110702431,7.09
6.968392746,6.927857005,6.927857005,7.088832538,0.061452457,0.061452457,6.56
6.456529343,6.422039137,6.422039137,6.559006644,0.052287386,0.052287386,6.54
6.439289952,6.405719948,6.405719948,6.539033146,0.050892352,0.050892352,5.5
5.421985155,5.395980223,5.395980223,5.499251008,0.039423652,0.039423652,4.78
4.716013086,4.694684133,4.694684133,4.779385668,0.032334836,0.032334836,4.56
4.503706638,4.484942205,4.484942205,4.559459524,0.028447008,0.028447008,4.04
3.99365344,3.978204609,3.978204609,4.039555008,0.023420533,0.023420533,3.86
3.820717499,3.807623355,3.807623355,3.859622821,0.019850811,0.019850811,5.27
5.205208469,5.183611309,5.183611309,5.269377949,0.03274144,0.03274144,5.7
5.805294683,5.736775419,5.706323341,5.826146154,0.034218035,0.035434434,8.08
8.759392956,8.505955249,8.365173322,8.662081691,0.06216903,0.068384825,10.96
11.71477121,11.3477017,11.16666826,11.69904521,0.142803295,0.151712205,12.78
13.39500044,12.99061999,12.81262041,13.49880644,0.206988935,0.216379784,13.84
14.63547787,14.12104017,13.8934863,14.74796948,0.261278198,0.273484698,14.56
15.22848418,14.70577336,14.48835309,15.42290346,0.297459154,0.309420964,14.8
15.27381697,14.7958808,14.61054609,15.53600405,0.302889527,0.313304311,15.11
15.89234221,15.31914167,15.0759662,16.06765269,0.315775475,0.329343305,14.95
14.77179913,14.46494712,14.39293907,15.23590486,0.301441772,0.305684684,14.16
13.6328476,13.45713011,13.45713011,14.15493938,0.266388892,0.266388892,13.03
12.56669924,12.41226564,12.41226564,13.02555235,0.234122377,0.234122377,12.46
12.11933986,12.00578647,12.00578647,12.45672969,0.172147706,0.172147706,10.99
10.72583501,10.63778001,10.63778001,10.98746403,0.133491976,0.133491976,9.93
9.732018126,9.666024168,9.666024168,9.928099373,0.100047286,0.100047286,9.22
9.073207641,9.024276858,9.024276858,9.218590785,0.074179398,0.074179398,8.57
8.458673689,8.421564924,8.421564924,8.568931252,0.056257138,0.056257138,8.03
7.939216659,7.908955553,7.908955553,8.029128458,0.045876041,0.045876041,7.56
7.48010877,7.453478369,7.453478369,7.559233017,0.040371868,0.040371868,7.02
6.949852193,6.926469602,6.926469602,7.019326548,0.035448166,0.035448166,6.61
6.546693926,6.525591914,6.525591914,6.609392225,0.031990793,0.031990793,6.18
6.121306202,6.101741616,6.101741616,6.179436498,0.029660044,0.029660044,6.01
5.948651651,5.928202216,5.928202216,6.009411012,0.031001481,0.031001481,5.76
5.693861399,5.671815214,5.671815214,5.759365023,0.033422165,0.033422165,5.71
5.600732441,5.564309937,5.564309937,5.708950984,0.055216762,0.055216762,5.56
