time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20160114:0900,8.2,84.65,158,167.83,115,274,0.97,112,100407
20160114:1000,12.55,71.1,369,716.97,91,285.6,0.21,86,100486
20160114:1100,14.95,64.4,498,926.96,55,291.4,0.69,269,100466
20160114:1200,16.33,64,412,334.26,238,300.4,1.72,261,100388
20160114:1300,16.99,65.45,441,462.18,204,313.2,2.41,251,100319
20160114:1400,17.6,64.9,405,544.9,157,336.4,3.03,246,100221
20160114:1500,17.65,63.75,144,17.07,138,328.8,2.83,244,100191
20160114:1600,17.36,64.9,129,191.4,89,325.2,2.14,247,100201
20160114:1700,16.21,71.45,0,0,0,327.8,1.79,257,100250
20160114:1800,14.78,78.4,0,0,0,332.6,1.93,250,100270
20160114:1900,13.82,88.9,0,0,0,349,0.83,274,100270
20160114:2000,12.81,91.6,0,0,0,330.8,0.97,259,100290
20160114:2100,11.71,94.4,0,0,0,325.6,1.38,238,100309
20160114:2200,11.29,95.75,0,0,0,332.8,1.66,220,100319
20160114:2300,11.06,96.4,0,0,0,326.6,1.93,209,100309
20160115:0000,10.99,97.7,0,0,0,329,2,199,100280
20160115:0100,11.4,97.1,0,0,0,339.65,2.21,192,100260
20160115:0200,11.81,96.95,0,0,0,354.2,2.28,200,100201
20160115:0300,12.06,97.5,0,0,0,356.6,2.41,211,100181
20160115:0400,12.32,98.55,0,0,0,363,2.62,231,100181
20160115:0500,12.32,98.85,0,0,0,367,2.76,258,100172
20160115:0600,11.84,96.45,0,0,0,367.8,2.97,272,100250
20160115:0700,11.27,94.75,0,0,0,358.4,2.55,273,100290
20160115:0800,10.79,92.45,44,107.1,34,352.2,2.55,275,100349
20160115:0900,10.89,90,118,42.69,107,346.4,2.48,280,100466
20160115:1000,11.5,84.7,272,228.45,183,341.6,2.41,287,100516
20160115:1100,13,73.2,199,12.5,193,317,2.9,327,100545
20160115:1200,14.28,64.45,183,1.91,182,345.2,3.1,339,100525
