time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20131025:0600,19.5,80.3,0,0,0,391,2.41,188,99366
20131025:0700,18.69,85.75,5,0,5,384.2,2.62,192,99376
20131025:0800,18.97,85.65,132,57.85,116,389.2,2.34,204,99464
20131025:0900,19.51,84.5,354,417.62,172,386.8,1.93,215,99504
20131025:1000,20.38,80.05,301,68.25,263,384.4,1.93,209,99533
20131025:1100,21.84,71.65,110,0,110,386,2.28,199,99464
20131025:1200,23.05,64.4,326,39.75,300,385.2,3.38,187,99396
20131025:1300,23.39,61.25,548,495.38,239,392.05,4.21,203,99327
20131025:1400,21.27,74.55,307,86.65,260,385.2,4.34,219,99307
20131025:1500,20.07,77.5,351,478.95,152,369,5.17,216,99386
20131025:1600,19,87.4,78,3.97,77,377,3.72,222,99435
20131025:1700,18.77,86.7,3,0,3,372,2.69,226,99464
20131025:1800,18.27,87.8,0,0,0,364.6,1.66,219,99494
20131025:1900,18.25,86.1,0,0,0,356.6,2.14,198,99572
20131025:2000,17.92,85.95,0,0,0,351,2.28,202,99651
20131025:2100,17.72,83.25,0,0,0,351,2.48,197,99700
20131025:2200,17.48,81,0,0,0,349.2,2.48,190,99730
20131025:2300,17.19,80.8,0,0,0,347.4,2.21,187,99739
20131026:0000,17,81.8,0,0,0,351.8,1.93,193,99779
20131026:0100,17.02,82.4,0,0,0,370.45,1.79,207,99759
20131026:0200,16.83,84.25,0,0,0,370,1.52,219,99798
20131026:0300,16.54,86.95,0,0,0,367.8,1.17,208,99788
20131026:0400,16.48,87.85,0,0,0,374,1.1,192,99808
20131026:0500,16.33,89,0,0,0,368.8,1.1,186,99867
20131026:0600,16.13,90.25,0,0,0,364.8,1.1,179,99897
20131026:0700,16.43,90.25,52,289.47,27,368.2,1.38,195,99946
20131026:0800,17.15,87.25,199,333.65,108,374.6,1.24,194,100014
20131026:0900,18.07,81.4,239,88.02,201,358.4,1.93,198,100054
20131026:1000,19.07,75.1,272,43.44,248,354.6,1.86,200,100093
20131026:1100,19.94,69.05,246,7.98,241,366.6,1.72,210,100132
20131026:1200,20.23,65.65,134,0,134,375,1.45,216,100103
20131026:1300,20.01,66.6,246,9.69,240,378,1.24,212,100073
20131026:1400,19.59,70,47,0,47,376.4,1.17,213,100123
20131026:1500,19.25,73,55,0,55,372.4,0.97,236,100103
20131026:1600,19.3,72.15,92,16.17,88,369.2,1.1,251,100152
20131026:1700,18.99,73.75,24,68.79,20,364.8,1.17,251,100181
20131026:1800,18.18,78.2,0,0,0,357.4,1.38,252,100240
20131026:1900,17.01,84.95,0,0,0,337.4,1.17,222,100299
20131026:2000,16.57,86.6,0,0,0,332,0.76,233,100319
20131026:2100,16.77,84.9,0,0,0,326,0.14,152,100368
20131026:2200,16.5,86.3,0,0,0,328,0.69,113,100427
20131026:2300,14.69,92.4,0,0,0,324.2,1.24,100,100437
20131027:0000,13.53,95.4,0,0,0,319.8,1.66,92,100427
20131027:0100,13.16,96.65,0,0,0,321.65,1.66,91,100437
20131027:0200,13.08,96.55,0,0,0,322.6,1.72,81,100378
20131027:0300,12.98,96.3,0,0,0,321.2,1.72,62,100329
20131027:0400,12.95,96.4,0,0,0,323.6,1.79,49,100349
20131027:0500,13.25,96.15,0,0,0,329.2,2,58,100339
20131027:0600,13.47,95.65,0,0,0,324.8,2.21,68,100378
20131027:0700,14.11,95.8,47,229.5,28,346.4,2.48,71,100398
20131027:0800,15.17,92,232,602.47,70,342.2,3.1,69,100447
20131027:0900,16.92,84.05,413,769.37,84,336,2.9,58,100486
20131027:1000,19.18,73.5,562,881.13,79,340.4,3.1,51,100496
20131027:1100,21.42,64.1,654,925.62,78,334.2,3.38,47,100427
20131027:1200,23.35,57.05,683,938.05,78,342.2,3.31,48,100349
20131027:1300,24.89,51.6,640,896.49,89,347,2.76,57,100231
20131027:1400,26.06,46.9,527,774.36,114,351.8,2.14,65,100181
20131027:1500,26.63,43.8,379,678.67,103,353.6,1.72,66,100123
20131027:1600,26.45,44.8,196,481,79,352.6,1.24,57,100083
20131027:1700,24.74,53.8,26,147.66,18,348.4,1.24,27,100093
20131027:1800,21.69,66.25,0,0,0,340.6,1.45,48,100132
20131027:1900,19.76,70.7,0,0,0,336,1.72,72,100181
20131027:2000,18.32,73.25,0,0,0,333,2.07,99,100181
20131027:2100,17.36,74.5,0,0,0,330.4,2.21,110,100211
20131027:2200,16.68,75.25,0,0,0,327.2,2.21,113,100211
20131027:2300,16.04,77.35,0,0,0,324.4,1.93,114,100172
20131028:0000,16.96,71.55,0,0,0,321.8,1.24,116,100152
20131028:0100,18.13,65.45,0,0,0,320.65,0.69,112,100113
20131028:0200,17.5,68.15,0,0,0,319.6,1.03,106,100073
20131028:0300,15.05,79.25,0,0,0,318.2,1.59,112,100014
20131028:0400,13.87,84.65,0,0,0,317.8,1.86,118,100005
20131028:0500,13.23,87.5,0,0,0,316,1.86,122,99995
20131028:0600,12.78,89.55,0,0,0,316,1.72,122,99995
20131028:0700,12.84,89.8,43,214.64,26,314.2,1.66,116,100024
20131028:0800,15.85,82.65,224,565.96,74,315.6,0.83,118,100064
20131028:0900,19.91,68.7,394,675.29,108,320.8,0.07,76,100083
20131028:1000,22.31,57.55,547,821.9,100,329.4,0.83,327,100113
20131028:1100,23.73,54.5,649,924.18,78,337,1.52,326,100054
20131028:1200,24.78,51.6,668,893.14,96,344,2.14,325,100044
20131028:1300,25.31,49.8,625,845.77,109,349.8,2.34,324,99985
20131028:1400,25.54,48.6,511,716.59,132,353.6,2.28,322,99956
20131028:1500,25.44,48.65,356,569.15,127,355.8,2.07,318,99936
20131028:1600,24.96,50.6,177,359.66,91,358,1.72,312,99936
20131028:1700,23.89,56.45,22,119.32,16,357.6,1.24,276,99906
20131028:1800,21.9,66.25,0,0,0,351.8,1.38,232,99897
20131028:1900,19.94,75.6,0,0,0,347.2,1.66,214,99906
20131028:2000,18.69,80.35,0,0,0,343.6,1.66,258,99936
20131028:2100,17.89,79.3,0,0,0,340,2.14,309,99995
20131028:2200,17.58,72.8,0,0,0,340,2.48,350,100054
20131028:2300,16.97,71.3,0,0,0,336.6,2.21,18,100064
20131029:0000,16.37,74.05,0,0,0,342,1.79,34,100024
20131029:0100,15.7,77.75,0,0,0,338.45,1.66,14,100024
20131029:0200,15.4,79.65,0,0,0,343,1.72,4,100064
20131029:0300,15.24,82.2,0,0,0,350,1.52,12,100034
20131029:0400,15.02,83.05,0,0,0,340.6,1.86,358,100024
20131029:0500,14.96,83.35,0,0,0,330,2.48,353,100034
20131029:0600,14.49,80.9,0,0,0,318.2,2.83,359,100083
20131029:0700,13.75,80.95,44,251.3,25,293.4,2.62,2,100172
20131029:0800,14.14,70.95,216,520.73,80,289.4,2.34,11,100240
20131029:0900,15.19,56.55,381,622.29,120,285.2,2.62,21,100270
20131029:1000,16.33,48.1,522,720.95,133,280.2,2.97,8,100280
20131029:1100,17.42,42.8,615,785.77,133,281,2.9,8,100240
20131029:1200,18.45,39.75,638,783.09,140,284.4,2.97,0,100191
20131029:1300,19.23,38.05,606,784.33,131,288.2,3.38,348,100103
20131029:1400,19.66,36.35,506,714.99,131,291.6,3.72,346,100073
20131029:1500,19.66,34.85,368,660.65,105,293.2,4.07,348,100044
20131029:1600,19.13,34.6,190,489.25,75,292.6,4.28,351,100044
20131029:1700,18.02,37.05,22,150.62,15,291,3.72,352,100054
20131029:1800,16.67,39.95,0,0,0,289.8,3.38,352,100132
20131029:1900,16.12,43.8,0,0,0,290,3.24,348,100191
20131029:2000,15.36,46.5,0,0,0,287.6,3.31,355,100231
20131029:2100,14.79,48.5,0,0,0,288.8,3.24,5,100270
20131029:2200,14.21,50.15,0,0,0,286.2,3.1,11,100280
20131029:2300,13.56,51.75,0,0,0,280.8,2.9,18,100299
20131030:0000,12.98,52.65,0,0,0,278,2.9,24,100280
20131030:0100,12.63,51.95,0,0,0,282.6,3.03,30,100270
20131030:0200,12.46,50.3,0,0,0,286.4,3.1,35,100250
20131030:0300,12.39,48.4,0,0,0,294,3.1,40,100201
20131030:0400,12.17,47.75,0,0,0,294.2,2.97,42,100191
20131030:0500,11.82,48.35,0,0,0,288.2,2.83,45,100221
20131030:0600,11.52,49.3,0,0,0,288,2.83,45,100260
20131030:0700,11.27,51.45,34,124.99,25,278,3.17,46,100290
20131030:0800,11.88,52.95,170,237.07,109,271.2,2.97,48,100358
20131030:0900,13.75,47.35,360,529.72,140,276.4,3.59,46,100398
20131030:1000,15.44,42.4,514,704.31,137,281.8,3.86,46,100398
20131030:1100,16.94,38.4,607,770.11,138,284.6,3.79,44,100378
20131030:1200,18.32,34.7,637,796.55,134,286.4,3.66,40,100299
20131030:1300,19.09,32.15,601,781.82,131,290.6,3.59,36,100231
20131030:1400,19.55,30.45,501,713.29,130,291.6,3.59,32,100181
20131030:1500,19.63,29.55,363,657.53,104,290.6,3.59,29,100152
20131030:1600,19.14,30.7,185,476.05,75,290.8,3.24,28,100152
20131030:1700,17.85,34.6,19,116.98,14,284.8,2.62,28,100162
20131030:1800,16.18,38.15,0,0,0,280.6,2.55,35,100211
20131030:1900,15.23,40.95,0,0,0,277.4,2.34,43,100260
20131030:2000,13.93,45.3,0,0,0,275.2,2.28,47,100290
20131030:2100,12.55,50.95,0,0,0,272.6,2.21,50,100339
20131030:2200,11.34,55.9,0,0,0,271,2.21,52,100398
20131030:2300,10.39,59.65,0,0,0,269.2,2.21,54,100388
20131031:0000,9.62,63.05,0,0,0,268.2,2.14,55,100378
20131031:0100,8.97,65.7,0,0,0,267,2.14,57,100378
20131031:0200,8.49,67.35,0,0,0,266.8,2.14,60,100368
20131031:0300,8.05,68.75,0,0,0,264.2,2.14,62,100349
20131031:0400,7.71,70.1,0,0,0,265,2.21,65,100358
20131031:0500,7.41,71.1,0,0,0,263,2.21,68,100358
20131031:0600,7.19,71.7,0,0,0,262.2,2.28,72,100417
20131031:0700,7.23,74.9,33,146.21,23,266.8,2.41,78,100437
20131031:0800,9.27,74.75,207,505.07,79,265.6,1.93,74,100506
20131031:0900,14.02,54.1,368,593.37,124,265.6,1.86,58,100565
20131031:1000,16.46,44.15,510,702.46,137,272.4,2.21,53,100545
20131031:1100,18.21,36.7,605,782.33,132,279.4,2.28,47,100525
20131031:1200,19.4,31.8,632,794.21,134,285.6,2.28,34,100457
20131031:1300,20.05,29.35,593,765.81,136,292.2,2.28,27,100368
20131031:1400,20.38,28.3,496,709.54,130,294.8,2.34,21,100319
20131031:1500,20.34,28.2,359,654.24,104,296,2.48,19,100349
20131031:1600,18.01,31.49,182,479.84,73,294.44,2.58,18,100329
20131031:1700,17.18,36.15,12,0,12,293.77,2.51,10,100349
20131031:1800,16.34,40.81,0,0,0,293.1,2.44,24,100368
20131031:1900,15.51,45.47,0,0,0,292.43,2.37,41,100417
20131031:2000,14.68,50.14,0,0,0,291.75,2.3,54,100457
20131031:2100,13.85,54.8,0,0,0,291.08,2.23,66,100516
20131031:2200,13.01,59.46,0,0,0,290.41,2.15,78,100565
20131031:2300,12.18,64.12,0,0,0,289.74,2.08,84,100545
20181101:0000,11.35,68.79,0,0,0,289.07,2.01,18,99111
20181101:0100,10.51,73.45,0,0,0,288.4,1.94,13,99228
20181101:0200,9.68,78.11,0,0,0,287.72,1.87,8,99287
20181101:0300,8.85,82.78,0,0,0,287.05,1.8,14,99317
20181101:0400,8.01,87.44,0,0,0,286.38,1.73,9,99396
20181101:0500,7.18,92.1,0,0,0,285.71,1.65,8,99494
20181101:0600,6.35,96.76,0,0,0,285.04,1.58,16,99621
20181101:0700,5.52,100,33,169.8,22,284.37,1.51,64,99749
20181101:0800,8.49,89.05,223,653.17,60,267.4,0.76,63,99828
20181101:0900,11.12,77.55,411,857.26,62,269.4,0.9,33,99946
20181101:1000,12.76,69.05,558,943.57,61,275.6,1.31,11,100005
20181101:1100,14.12,62.95,651,986.29,59,281.6,1.17,356,100044
20181101:1200,15.37,57.25,679,997.38,58,286.6,1.59,343,100044
20181101:1300,16.2,52.8,642,982.46,60,290.6,1.59,335,100024
20181101:1400,16.68,50.15,541,936.32,62,292.4,1.72,322,100014
20181101:1500,16.83,49.25,386,834.85,64,294.2,2.07,318,100024
20181101:1600,16.58,50.15,192,582.1,62,296.8,2.14,312,100073
20181101:1700,15.74,55.4,0,0,0,296.4,1.38,287,100142
20181101:1800,14.09,64.65,0,0,0,292.6,1.31,235,100221
20181101:1900,12.5,73.5,0,0,0,295.8,1.72,215,100309
20181101:2000,11.37,78.55,0,0,0,294,1.79,212,100378
20181101:2100,10.79,80.6,0,0,0,292.8,1.72,212,100417
20181101:2200,10.46,81.35,0,0,0,290.8,1.66,216,100486
20181101:2300,10.77,78.55,0,0,0,289.8,1.38,227,100525
20181102:0000,11.41,74.7,0,0,0,288.8,1.17,244,100525
20181102:0100,11.64,73.3,0,0,0,289.2,1.03,251,100555
20181102:0200,11.65,72.9,0,0,0,290.6,0.76,253,100516
20181102:0300,11.52,73.3,0,0,0,288.8,0.55,257,100535
20181102:0400,11.26,74.4,0,0,0,289,0.48,228,100545
20181102:0500,10.99,75.65,0,0,0,289.6,0.62,198,100545
20181102:0600,10.61,77.45,0,0,0,291.8,0.76,192,100594
20181102:0700,10.14,81.5,21,32.7,19,293.2,0.9,178,100633
20181102:0800,10.86,81.8,156,203.52,106,305,0.62,170,100643
20181102:0900,13.04,76.6,324,414.38,157,313.2,0.41,233,100722
20181102:1000,14.39,74.2,526,842.17,86,313.4,0.97,272,100712
20181102:1100,15.93,70.05,572,691.42,160,328.6,1.66,305,100702
20181102:1200,16.57,69.55,646,910.63,83,346,1.93,314,100643
20181102:1300,16.98,68.95,411,209.16,288,362.4,1.93,314,100604
20181102:1400,17.2,68.3,255,49.27,230,375.2,1.66,300,100525
20181102:1500,17.73,65.75,229,130.99,179,373,1.72,300,100525
20181102:1600,17.58,68.25,129,154.84,95,381.8,0.83,256,100506
20181102:1700,17.02,71.95,0,0,0,384.8,1.31,209,100506
20181102:1800,16.3,75.4,0,0,0,376.2,1.45,215,100496
20181102:1900,15.75,81.3,0,0,0,364.4,1.17,200,100565
20181102:2000,14.88,86.55,0,0,0,354.2,1.24,190,100555
20181102:2100,14.44,86.85,0,0,0,337.2,1.03,189,100584
20181102:2200,15.03,82.35,0,0,0,320.2,0.62,160,100584
20181102:2300,14.66,83.7,0,0,0,314.6,0.76,162,100555
20181103:0000,14.28,85,0,0,0,306.2,0.76,132,100506
20181103:0100,12.12,91,0,0,0,309.4,1.31,98,100496
20181103:0200,10.67,94.65,0,0,0,305.8,1.66,87,100437
20181103:0300,10.12,95.75,0,0,0,303.4,1.59,84,100388
20181103:0400,9.59,96.55,0,0,0,301.4,1.52,77,100368
20181103:0500,9.11,96.85,0,0,0,300.8,1.66,69,100358
20181103:0600,8.87,96.8,0,0,0,299,1.79,66,100349
20181103:0700,9.06,95.45,22,69.5,18,297.2,1.79,62,100349
20181103:0800,10.77,94.15,200,533.5,71,300,1.52,54,100358
20181103:0900,15,79.8,359,609.14,116,300.6,2.07,46,100417
20181103:1000,17,70.7,514,787.31,106,307,2.48,42,100378
20181103:1100,18.62,61,607,857.07,100,312.4,2.48,39,100349
20181103:1200,19.82,51.8,638,884.48,95,316,2.34,36,100290
20181103:1300,20.43,46.15,617,947.23,64,318.2,2.28,32,100211
20181103:1400,20.75,43.35,508,840.51,85,319,2.21,26,100132
20181103:1500,20.61,43.15,355,712.06,86,318,2.21,16,100113
20181103:1600,19.9,47.8,175,509.49,65,316,1.86,4,100064
20181103:1700,18.54,54.1,0,0,0,313.8,1.66,13,100093
20181103:1800,16.53,63.5,0,0,0,306.8,1.45,56,100083
20181103:1900,14.5,80.5,0,0,0,309.4,1.72,103,100103
20181103:2000,13.12,84.95,0,0,0,308,1.72,124,100083
20181103:2100,12.1,88.1,0,0,0,307,1.72,136,100123
20181103:2200,11.35,89.65,0,0,0,307.2,1.79,142,100113
20181103:2300,10.92,90.5,0,0,0,311.6,1.72,144,100093
20181104:0000,10.58,90.65,0,0,0,311.4,1.66,148,100014
20181104:0100,10.28,89.65,0,0,0,305.4,1.59,148,99965
20181104:0200,10.01,88.25,0,0,0,300.2,1.72,142,99926
20181104:0300,9.62,88.35,0,0,0,300.2,1.79,138,99877
20181104:0400,9.22,89.1,0,0,0,301,1.72,140,99838
20181104:0500,9.08,88.75,0,0,0,301.8,1.72,144,99818
20181104:0600,8.75,89.95,0,0,0,303.4,1.66,150,99857
20181104:0700,8.89,88.4,22,92.71,17,306.4,1.72,163,99847
20181104:0800,10.56,87.55,141,151.31,105,300.6,1.24,175,99916
20181104:0900,14.32,73.1,248,146.89,190,297.2,1.24,196,99936
20181104:1000,16.04,74.2,225,19.46,215,304.8,1.93,212,99916
20181104:1100,17.67,71.65,283,32.35,264,317.4,2.69,230,99857
20181104:1200,18.52,67.55,517,416.65,263,337.6,3.24,239,99739
20181104:1300,18.89,64.75,385,158.73,293,356.8,3.38,238,99641
20181104:1400,19.16,62.75,194,8.01,190,373.6,3.66,236,99533
20181104:1500,18.81,64.75,368,802.29,68,372.8,3.66,238,99445
20181104:1600,18.04,71.1,88,28.26,82,378.6,3.31,247,99454
20181104:1700,16.97,77.75,0,0,0,363.4,3.03,248,99415
20181104:1800,16.06,82.8,0,0,0,366.6,2.69,239,99425
20181104:1900,15.2,85.75,0,0,0,363.8,2.41,234,99425
20181104:2000,14.71,87.8,0,0,0,356.4,2.55,223,99386
20181104:2100,14.35,88.8,0,0,0,352,2.69,217,99356
20181104:2200,14.15,89.05,0,0,0,354.4,2.97,211,99268
20181104:2300,13.93,89.35,0,0,0,344.8,3.31,207,99170
20181105:0000,13.92,88.6,0,0,0,348.4,3.86,203,99091
20181105:0100,14,86.7,0,0,0,352.45,4.34,200,98993
20181105:0200,14.24,85.05,0,0,0,366.6,4.9,199,98875
20181105:0300,14.19,86.85,0,0,0,363.6,5.59,198,98777
20181105:0400,14.23,91.45,0,0,0,376.4,5.86,211,98796
20181105:0500,13.91,92.45,0,0,0,380.6,4.97,251,98904
20181105:0600,13.01,88.65,0,0,0,371,3.72,281,98973
20181105:0700,11.88,88.3,24,158.98,16,338.6,2.41,233,99052
20181105:0800,11.83,87.4,210,679.32,51,314.8,2.55,254,99130
20181105:0900,12.22,79.5,367,670.47,105,294.2,3.1,269,99199
20181105:1000,13.05,70.8,520,829.77,97,286.4,3.17,274,99248
20181105:1100,14.04,62.45,629,969.17,64,293,3.86,282,99268
20181105:1200,14.73,56.35,606,740.05,158,294.4,4.55,284,99258
20181105:1300,15.02,53.3,517,510.92,223,290.4,4.48,278,99228
20181105:1400,15.2,50.85,501,807.75,101,308.4,4.69,271,99238
20181105:1500,15.18,49.6,330,564.63,121,294.8,4.69,269,99248
20181105:1600,14.92,50.1,170,493.29,67,309.6,4.14,264,99297
20181105:1700,14.27,53.2,0,0,0,305.2,3.24,251,99356
20181105:1800,13.09,57.75,0,0,0,289.2,2.76,234,99445
20181105:1900,12.72,61,0,0,0,299,2.76,232,99543
20181105:2000,12.1,64.1,0,0,0,293,2.76,231,99572
20181105:2100,11.53,67.15,0,0,0,288.2,2.55,233,99661
20181105:2200,10.81,71.25,0,0,0,278.6,2.34,236,99720
20181105:2300,10.19,75.2,0,0,0,277.8,2.28,240,99749
20181106:0000,9.46,79.65,0,0,0,271.6,2.14,240,99788
20181106:0100,8.68,84.25,0,0,0,269.8,2,233,99798
20181106:0200,7.94,87.35,0,0,0,268.4,1.86,220,99798
20181106:0300,7.32,89.3,0,0,0,265.4,1.79,213,99779
20181106:0400,7.13,89.35,0,0,0,265.8,1.59,209,99818
20181106:0500,6.91,89.65,0,0,0,263.6,1.52,193,99857
20181106:0600,6.63,90.5,0,0,0,263.4,1.52,181,99887
20181106:0700,6.08,92.35,17,64.23,14,263.6,1.72,166,99946
20181106:0800,7.9,90.5,193,551.7,66,266.2,1.1,167,99985
20181106:0900,11.44,76.2,366,708.53,92,271.8,1.1,207,100083
20181106:1000,12.84,69.7,507,799.06,103,279.4,1.1,238,100093
20181106:1100,14,63.7,614,934.8,73,288.6,1.24,249,100073
20181106:1200,15.03,58.8,636,913.25,87,302.2,1.72,251,100014
20181106:1300,15.64,55.9,583,819.16,115,305.2,2.14,251,99946
20181106:1400,15.85,54,472,692.09,132,319,2.55,248,99897
20181106:1500,15.95,53,330,597.62,111,330.6,2.48,249,99847
20181106:1600,15.62,54.3,167,506.38,63,330.4,2.14,248,99838
20181106:1700,14.98,59.05,0,0,0,332.6,1.38,249,99847
20181106:1800,13.68,67.15,0,0,0,305.8,1.31,228,99877
20181106:1900,12.73,77.5,0,0,0,318.8,1.45,199,99897
20181106:2000,12.37,77.6,0,0,0,330,1.86,184,99916
20181106:2100,12.09,79.2,0,0,0,326.2,1.93,185,99936
20181106:2200,12.28,79.3,0,0,0,340.6,1.86,182,99985
20181106:2300,12.61,77.75,0,0,0,346.4,2.21,167,99946
20181107:0000,12.7,77.1,0,0,0,340.2,2.41,164,99838
20181107:0100,12.53,77.85,0,0,0,326.65,2.41,168,99798
20181107:0200,12.39,78.65,0,0,0,323.2,2.34,175,99818
20181107:0300,12.5,78.65,0,0,0,328.6,2.48,178,99808
20181107:0400,12.74,78.7,0,0,0,335.6,2.62,184,99818
20181107:0500,12.74,80.55,0,0,0,325,2.97,185,99788
20181107:0600,12.87,81.95,0,0,0,327.2,3.03,189,99828
20181107:0700,13.02,84.2,7,0,7,334.2,3.24,188,99877
20181107:0800,13.98,82.25,92,26.51,86,356.6,3.52,192,99906
20181107:0900,15,79.85,135,5.23,133,359.2,3.45,195,99956
20181107:1000,15.84,76.95,250,45.87,227,364.4,3.86,203,99995
20181107:1100,16.29,75.4,297,50.48,268,377.6,4,209,100014
20181107:1200,16.64,74.25,301,43.55,275,383.8,4.07,215,100014
20181107:1300,16.59,76.35,207,3.53,205,384.2,3.79,223,99975
20181107:1400,16.13,81.4,140,0,140,385.2,3.38,223,99985
20181107:1500,15.52,88.15,161,30.32,150,386.4,2.9,219,99975
20181107:1600,15.6,89.6,129,222.72,84,378.6,2.76,212,99995
20181107:1700,15.41,89.3,0,0,0,375.8,2.48,206,99995
20181107:1800,15.07,90.45,0,0,0,365.4,2.21,197,100044
20181107:1900,14.79,93,0,0,0,367.8,1.79,194,100083
20181107:2000,14.58,93.6,0,0,0,362.4,1.86,185,100103
20181107:2100,14.37,93.95,0,0,0,355.4,1.86,179,100103
20181107:2200,14,94.3,0,0,0,342.4,1.79,180,100123
20181107:2300,13.47,95.8,0,0,0,337,1.59,179,100103
20181108:0000,12.62,98,0,0,0,331.2,1.45,160,100073
20181108:0100,11.99,98.8,0,0,0,330.05,1.38,144,100054
20181108:0200,11.67,99.2,0,0,0,340.6,1.24,136,100014
20181108:0300,11.67,98.75,0,0,0,341.4,1.31,130,99985
20181108:0400,12.03,98.75,0,0,0,359.8,1.31,130,99975
20181108:0500,12,98.65,0,0,0,354.8,1.38,133,99926
20181108:0600,12.26,98.55,0,0,0,368,1.31,142,99936
20181108:0700,14.25,92,3,0,3,382.6,2.07,164,99956
20181108:0800,14.43,91.4,72,4.49,71,371.2,2.41,179,99965
20181108:0900,15,90.1,138,7.92,135,380.4,2.69,184,100005
20181108:1000,15.55,87,145,0,145,377.6,3.17,186,99975
20181108:1100,16.36,83.3,59,0,59,375.6,3.66,190,99936
20181108:1200,16.53,82.35,84,0,84,375.8,4.14,195,99877
20181108:1300,16.47,83.15,69,0,69,379.6,4.28,200,99828
20181108:1400,15.51,89.25,110,0,110,387.8,4.14,210,99798
20181108:1500,15.3,91.3,153,25.05,144,383.4,3.93,225,99818
20181108:1600,14.99,93.75,67,10.06,65,380,3.59,233,99847
20181108:1700,14.73,93.3,0,0,0,358.2,3.52,232,99887
20181108:1800,14.01,91.95,0,0,0,335.4,3.59,227,99956
20181108:1900,13.64,90.6,0,0,0,311.6,3.45,225,100024
20181108:2000,13.19,90.25,0,0,0,322.2,3.45,241,100103
20181108:2100,12.82,90.6,0,0,0,342,2.97,254,100201
20181108:2200,12.29,91.65,0,0,0,332,2.41,256,100250
20181108:2300,11.74,92.75,0,0,0,317.6,2.21,257,100309
20181109:0000,10.92,92.95,0,0,0,290.8,2.14,257,100329
20181109:0100,10.17,93.65,0,0,0,287.8,2,253,100358
20181109:0200,9.56,94.1,0,0,0,286,1.86,246,100368
20181109:0300,8.86,94.85,0,0,0,279,1.72,244,100407
20181109:0400,8.05,95.6,0,0,0,272.8,1.52,237,100437
20181109:0500,7.5,95.3,0,0,0,266.4,1.45,218,100496
20181109:0600,6.99,95.65,0,0,0,265.8,1.45,202,100525
20181109:0700,6.85,91.75,0,0,0,261.2,1.52,181,100574
20181109:0800,8.38,90.55,184,557.91,62,262.4,1.03,188,100624
20181109:0900,11.06,80.7,358,723.36,87,266.2,0.83,239,100692
20181109:1000,12.51,71.75,503,833.36,92,272.2,1.03,269,100683
20181109:1100,13.83,62.9,609,967.8,61,279,1.59,278,100673
20181109:1200,14.86,55.6,626,918.82,85,283.4,2.14,284,100633
20181109:1300,15.45,52.3,584,870.66,97,286.6,2.41,286,100545
20181109:1400,15.85,49.15,480,781.43,105,299.6,2.83,293,100476
20181109:1500,15.79,48.9,329,646.37,99,311,2.69,289,100407
20181109:1600,15.63,49.15,141,332.24,76,315.2,2.34,282,100447
20181109:1700,14.68,54.85,0,0,0,300.6,1.79,244,100457
20181109:1800,13.18,61.65,0,0,0,290.6,2.28,226,100506
20181109:1900,13.11,69,0,0,0,322,2.21,221,100525
20181109:2000,12.66,75,0,0,0,323.8,2.07,215,100525
20181109:2100,12.21,79.6,0,0,0,322.4,1.93,203,100545
20181109:2200,11.68,83.35,0,0,0,316.6,1.93,188,100525
20181109:2300,10.88,87.55,0,0,0,301.6,1.86,181,100466
20181110:0000,10.16,90,0,0,0,297.4,1.79,177,100417
20181110:0100,9.57,91.4,0,0,0,295,1.66,178,100407
20181110:0200,9.31,91.35,0,0,0,296.6,1.66,178,100349
20181110:0300,9.41,91.25,0,0,0,305.2,1.52,181,100299
20181110:0400,9.45,91.4,0,0,0,306,1.52,184,100290
20181110:0500,9.05,92.9,0,0,0,299.6,1.66,170,100280
20181110:0600,8.66,94.25,0,0,0,298.4,1.79,160,100240
20181110:0700,8.89,94.5,0,0,0,308,1.79,158,100270
20181110:0800,10.24,93.45,162,400.27,76,306,1.52,155,100280
20181110:0900,14.15,81.4,172,37.77,158,316.2,1.31,168,100309
20181110:1000,16.01,72.5,379,329.17,218,320,1.66,207,100319
20181110:1100,17.22,66.65,232,12.45,225,312.8,2.62,238,100280
20181110:1200,17.76,63,99,0,99,342.2,3.52,247,100191
20181110:1300,17.77,63.4,190,1.8,189,367.6,3.72,248,100113
20181110:1400,17.8,63.65,79,0,79,380.6,3.93,248,100083
20181110:1500,17.61,64.15,241,226.98,161,378.2,3.66,249,100073
20181110:1600,17.15,67.35,125,238.87,79,372,2.76,243,100064
20181110:1700,16.37,71.3,0,0,0,354.8,2.14,227,100054
20181110:1800,15.42,75.95,0,0,0,346.4,2.07,204,100073
20181110:1900,15.15,82.35,0,0,0,357.6,2.14,206,100113
20181110:2000,14.78,84.25,0,0,0,354.2,2.07,196,100103
20181110:2100,14.27,86.65,0,0,0,340.4,2.14,186,100142
20181110:2200,14.13,87.15,0,0,0,349.2,2.07,183,100103
20181110:2300,13.91,88.1,0,0,0,345.6,2.07,181,100064
20181111:0000,13.8,88.8,0,0,0,347.4,2,182,100064
20181111:0100,13.82,89.05,0,0,0,355.45,1.79,178,100024
20181111:0200,13.86,89.3,0,0,0,360.4,1.72,168,99985
20181111:0300,13.61,90.7,0,0,0,351,1.79,157,99936
20181111:0400,13.67,90.7,0,0,0,359.8,1.79,152,99887
20181111:0500,13.34,92.45,0,0,0,345,1.79,150,99887
